drug_id,drug_class_id,generic_name,brand_names,class_name,level_min,indications,contraindications,adult_dose_text,paediatric_dose_text,route_text,repeat_dose_rules,onset_text,duration_text,adverse_effects,monitoring,protocol_variation_note,verification_status
drug_000001,dc_000004,Aspirin,ASA,Antiplatelet,emt,Suspected ACS with no contraindication,"Allergy, active major bleeding, local protocol exclusions",160-325 mg chewable per protocol,Generally protocol-dependent; consult local guidance,PO,Usually once prehospital,Minutes,Hours,"GI upset, bleeding, allergy","Pain, allergy signs, bleeding risk",Dose/contraindications vary; check local protocol,draft
drug_000002,dc_000005,Nitroglycerin,Nitrostat,Vasodilator,emt,Chest pain suspected cardiac origin with adequate BP and prescription/protocol,"Hypotension, PDE-5 inhibitor use, RV infarct concern, local exclusions",0.4 mg SL per protocol,Typically not pediatric routine prehospital,SL,Repeat per protocol with BP checks,1-3 min,20-30 min,"Hypotension, headache, dizziness","BP before/after, pain, dizziness",Highly protocol-dependent,draft
drug_000003,dc_000002,Epinephrine 1 mg/mL,Adrenalin,Adrenergic,emt,Anaphylaxis via auto-injector or protocol,No absolute contraindication in life-threatening anaphylaxis,Auto-injector dose per device/protocol,Pediatric auto-injector dose per device/protocol,IM,Repeat per protocol,Minutes,Short,"Tachycardia, anxiety, tremor","Airway, breathing, BP, response",Dose/device varies,draft
drug_000004,dc_000003,Naloxone,Narcan,Antidote,emt,Suspected opioid overdose with respiratory depression,Hypersensitivity; use caution with dependence,Per protocol intranasal/IM/IV depending level,Per protocol weight/age guidance,IN/IM/IV,Repeat to adequate respirations,2-5 min depending route,30-90 min,"Withdrawal, vomiting, agitation","Respiratory rate, airway, mental status","Titrate to breathing, not full alertness where allowed",draft
drug_000005,dc_000002,Albuterol,Ventolin,Adrenergic bronchodilator,emt,Bronchospasm/wheezing per protocol,"Allergy, severe tachyarrhythmia caution",2.5 mg nebulized commonly; protocol varies,Weight/age protocol dependent,Nebulized,Repeat per protocol,5-15 min,3-6 hr,"Tachycardia, tremor","Work of breathing, lung sounds, HR",EMT assist/admin rules vary,draft
drug_000006,dc_000006,Midazolam,Versed,Anticonvulsant/benzodiazepine,paramedic,"Active seizure, sedation per protocol","Respiratory depression risk, hypotension caution",Protocol-specific dose by route,Weight-based per protocol,IN/IM/IV/IO,Repeat per protocol,Minutes,Variable,"Respiratory depression, hypotension","Airway, ventilation, BP, seizure activity",ALS/local protocol dependent,draft
drug_000007,dc_000001,Fentanyl,Sublimaze,Opioid analgesic,paramedic,Severe pain per protocol,"Respiratory depression, hypotension, allergy",Protocol-specific mcg dose,Weight-based per protocol,IV/IN/IM,Repeat per protocol,Minutes,30-60 min,"Respiratory depression, nausea","Pain score, respirations, BP, mental status",ALS/local protocol dependent,draft
drug_000008,dc_000007,Ondansetron,Zofran,Antiemetic,aemt,Nausea/vomiting per protocol,"Allergy, QT concerns per protocol",4 mg common adult dose; protocol-specific,Weight-based/age protocol dependent,PO/ODT/IV/IM,Repeat per protocol,Minutes,Hours,"Headache, QT prolongation rare","Nausea, vomiting, ECG if indicated",AEMT scope varies,draft
drug_000009,dc_000008,Normal saline,NS,Crystalloid,aemt,"Medication carrier, selected hypovolemia, access maintenance","Fluid overload risk, pulmonary edema caution",Bolus/keep vein open per protocol,Weight-based bolus per protocol,IV/IO,Reassess frequently,Immediate,Variable,"Fluid overload, infiltration","Lung sounds, BP, perfusion, IV site",Fluid strategy varies by condition,draft
drug_000010,dc_000003,Dextrose,D10/D25/D50,Antidote/carbohydrate,aemt,Hypoglycemia with altered mental status if unable oral glucose,"Hyperglycemia caution, extravasation risk",Concentration/dose per protocol,Weight-based per protocol,IV/IO,"Recheck glucose, repeat per protocol",Rapid,Variable,"Extravasation, hyperglycemia","BGL, mental status, IV site",Concentration and scope vary,draft
