skill_id,taxonomy_id,title,level_min,indications,contraindications,equipment_needed,preparation_steps,critical_fail_points,safety_points,reassessment_points,documentation_points,psychomotor_complexity,verification_status
skl_000001,,Primary assessment,emt,All patient contacts,Unsafe scene only,"PPE, monitor if available, oxygen/airway supplies","BSI, scene safety, general impression",Skipping life threats; treating before identifying ABC threats,Scene safety first,Reassess ABCs after each critical intervention,"Document mental status, airway, breathing, circulation, interventions",2,draft
skl_000002,,BVM ventilation,emt,Inadequate breathing or apnea,No absolute contraindication in apnea,"BVM, mask, oxygen, airway adjunct, suction","Position airway, seal mask, attach oxygen","Overventilation, poor seal, no chest rise",Avoid gastric inflation,"Watch chest rise, compliance, SpO2/ETCO2","Ventilation rate, response, adjuncts",3,draft
skl_000003,,Bleeding control,emt,Life-threatening external hemorrhage,Do not delay tourniquet for massive bleeding,"Gloves, gauze, hemostatic dressing, tourniquet","Expose, identify source, direct pressure/tourniquet",Tourniquet too loose; delayed application,PPE and sharps safety,Recheck bleeding and distal status,Time tourniquet placed,2,draft
skl_000004,,Spinal motion restriction,emt,Trauma with high-risk features or neuro deficit,No high-risk features after assessment,"Collar, stretcher, straps, padding","Assess mechanism, neuro, pain, distracting injury",Immobilizing everyone blindly; airway compromise,Manual stabilization initially,Reassess PMS and airway,SMR indication and neuro findings,2,draft
skl_000005,,Radio report,emt,Transporting patient needing notification,No contraindication,"Radio/phone, notes","Organize age/sex, complaint, vitals, treatment, ETA","Rambling, missing ETA or acuity",Protect privacy,Update if status changes,"Report time, receiving facility",1,draft
skl_000006,,IV access,aemt,Medication/fluid route indicated,"Local contraindications, infection, fistula/limb restriction","IV catheter, saline, dressing, sharps","Choose site, aseptic technique",Failed sharps safety; infiltration ignored,Sharps safety,Check patency and site,"Gauge, site, attempts, fluid",3,draft
skl_000007,,Supraglottic airway,aemt,Apnea/airway failure per protocol,Gag reflex or device contraindication,"SGA, lubricant, BVM, suction","Preoxygenate, insert per device",Not confirming placement; no ventilation assessment,Suction ready,ETCO2/chest rise/lung sounds,"Device size, attempts, confirmation",4,draft
skl_000008,,Manual defibrillation,paramedic,Shockable cardiac arrest,Non-shockable rhythm,"Monitor/defib, pads, CPR team","Confirm rhythm, charge, clear, shock","Shocking artifact, unsafe clearing",Clear loudly and visually,Resume CPR immediately,"Energy, rhythm, response",4,draft
skl_000009,,Synchronized cardioversion,paramedic,Unstable tachycardia with pulse,Ventricular fibrillation/pulseless VT,"Monitor/defib, sedation per protocol","Confirm unstable tachycardia, sync mode",Forgetting sync; delaying unstable patient,Team clear,Reassess rhythm and perfusion,"Energy, rhythm, sedation, response",5,draft
skl_000010,,12-lead acquisition,paramedic,"Chest pain, dyspnea, syncope, suspected ACS",Do not delay life-saving care,"Monitor, electrodes, skin prep","Place leads correctly, acquire, transmit","Lead misplacement, artifact",Maintain privacy,Repeat if symptoms change,"Time, interpretation, transmission",3,draft
skl_000011,,Medication infusion setup,paramedic,Medication requiring controlled infusion,Drug-specific contraindications,"Medication, pump/tubing, calculator","Confirm dose, concentration, rate","Dose error, unit error, wrong concentration",Double-check high-risk meds,Monitor response and adverse effects,"Dose, concentration, route, response",5,draft
